Affiliation,Country,count,latitude,longitude
Institute of Modern Physics Chinese Academy of Sciences,China,90,36.0536658,103.8575529
Vidyasirimedhi Institute of Science and Technology,Thailand,90,14.8971921,100.83273
Bumrungrad International Hospital,Thailand,88,13.746742,100.552457
Yanshan University,China,88,25.0671259,110.2949808
"Arab Academy for Science, Technology and Maritime Transport",Egypt,87,26.2540493,29.2675469
Thailand National Electronics and Computer Technology Center,Thailand,87,14.0777925,100.6013952
Universiteit van Amsterdam,Netherlands,86,52.36813335,4.889804156
King's College London,United Kingdom,85,51.5034339,-0.088193372
Universidad Nacional Aut?noma de M?xico,Mexico,85,19.32160295,-99.18493018
Universidade de S?o Paulo,Brazil,85,-23.5652201,-46.71258298
University College London,United Kingdom,85,51.52420305,-0.133000724
Rajavithi Hospital,Thailand,83,13.764113,100.5361673
Tokyo Institute of Technology,Japan,83,35.60503805,139.6827407
Graduate School of Medicine,Japan,82,41.8722549,-87.6711648
Rajamangala University of Technology Thanyaburi (RMUTT),Thailand,82,14.8971921,100.83273
The University of Queensland,Australia,82,-27.49741805,153.0131696
University of Oxford,United Kingdom,81,51.75870755,-1.255668483
Mae Fah Luang University,Thailand,80,20.0449482,99.89684391
The University of Hong Kong,Hong Kong,79,22.28269745,114.138455
Universidade Estadual de Londrina,Brazil,79,-23.32497345,-51.20180402
Universiti Putra Malaysia,Malaysia,79,2.9918365,101.720677
UNSW Sydney,Australia,79,-33.91759945,151.2312649
Michigan State University,United States,78,42.70237935,-84.48038687
Jeonbuk National University,South Korea,77,35.84667515,127.1337209
University of Washington,United States,77,47.6554303,-122.3001692
Istanbul University-Cerrahpasa,Turkey,75,41.099976,28.87535397
Konya Technical University,Turkey,75,38.9597594,34.9249653
National Taiwan University Hospital,Taiwan,75,24.81636875,120.9800682
Eszterh?zy K?roly Catholic University,Hungary,74,47.1817585,19.5060937
"Karlsruher Institut f?r Technologie, Campus S?d",Germany,74,51.1638175,10.4478313
"Kasetsart University, Kamphaeng Saen Campus",Thailand,74,14.8971921,100.83273
Tohoku University,Japan,74,38.2531931,140.8292395
Kyoto University,Japan,73,35.0234513,135.7798129
The University of British Columbia,Canada,71,49.24402705,-121.7638096
The University of Sydney,Australia,71,-33.88890725,151.1894111
The University of Texas MD Anderson Cancer Center,United States,71,29.70746,-95.395737
Osaka University,Japan,70,34.51119925,135.631448
Uppsala Universitet,Sweden,70,59.8576902,17.6297861
University of Pittsburgh School of Medicine,United States,69,39.7837304,-100.445882
The University of Utah,United States,68,39.7837304,-100.445882
Universitas Airlangga,Indonesia,68,-7.26625925,112.7839482
NUS Yong Loo Lin School of Medicine,Singapore,67,1.357107,103.8194992
Ltd.,Thailand,66,57.28571537,-2.569745063
Ltd.,Thailand,66,57.2857521,-2.5696635
"Mahidol University, Faculty of Dentistry",Thailand,66,14.8971921,100.83273
Universiti Kebangsaan Malaysia,Malaysia,66,2.92408085,101.7812216
Chiangrai Prachanukroh Hospital,Thailand,64,19.9007797,99.82917688
Universitat de Val?ncia,Spain,64,39.46048175,-0.360092718
Centre for Addiction and Mental Health,Canada,63,43.65885725,-79.39392801
Ubon Ratchathani University,Thailand,63,15.1184321,104.9025272
"University of Michigan, Ann Arbor",United States,63,42.2942142,-83.71003894
Singapore General Hospital,Singapore,62,1.27944885,103.8362739
Ton-Duc-Thang University,Viet Nam,62,10.7320052,106.6984654
The University of New Mexico,United States,61,39.7837304,-100.445882
University of Hawai?i at M?noa,United States,61,21.2982795,-157.8186919
"University of California, Irvine",United States,60,33.6458956,-117.842799
?a? ?niversitesi,Turkey,59,38.9597594,34.9249653
"Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo",Indonesia,59,-2.4833826,117.8902853
Friedrich-Alexander-Universit?t Erlangen-N?rnberg,Germany,58,49.45832195,11.08546
Nagoya University,Japan,58,35.15330865,136.9677806
Consiglio Nazionale delle Ricerche,Italy,56,44.4242871,8.8817623
